Temperature - (Celsius), Year, Statistics, Country, ISO3
27.7435, 1991, Jan Average, Paraguay, PRY
26.7139, 1991, Feb Average, Paraguay, PRY
26.4794, 1991, Mar Average, Paraguay, PRY
23.8111, 1991, Apr Average, Paraguay, PRY
21.4753, 1991, May Average, Paraguay, PRY
19.2716, 1991, Jun Average, Paraguay, PRY
18.418, 1991, Jul Average, Paraguay, PRY
20.8788, 1991, Aug Average, Paraguay, PRY
23.3931, 1991, Sep Average, Paraguay, PRY
23.744, 1991, Oct Average, Paraguay, PRY
24.9343, 1991, Nov Average, Paraguay, PRY
27.5283, 1991, Dec Average, Paraguay, PRY
27.032, 1992, Jan Average, Paraguay, PRY
26.9866, 1992, Feb Average, Paraguay, PRY
24.8762, 1992, Mar Average, Paraguay, PRY
22.5814, 1992, Apr Average, Paraguay, PRY
20.6867, 1992, May Average, Paraguay, PRY
20.8837, 1992, Jun Average, Paraguay, PRY
15.0653, 1992, Jul Average, Paraguay, PRY
19.4029, 1992, Aug Average, Paraguay, PRY
21.1043, 1992, Sep Average, Paraguay, PRY
24.0493, 1992, Oct Average, Paraguay, PRY
24.4434, 1992, Nov Average, Paraguay, PRY
27.2443, 1992, Dec Average, Paraguay, PRY
27.811, 1993, Jan Average, Paraguay, PRY
26.4875, 1993, Feb Average, Paraguay, PRY
26.6666, 1993, Mar Average, Paraguay, PRY
24.2308, 1993, Apr Average, Paraguay, PRY
20.1532, 1993, May Average, Paraguay, PRY
18.9052, 1993, Jun Average, Paraguay, PRY
17.0788, 1993, Jul Average, Paraguay, PRY
19.4692, 1993, Aug Average, Paraguay, PRY
21.6967, 1993, Sep Average, Paraguay, PRY
24.7519, 1993, Oct Average, Paraguay, PRY
26.2076, 1993, Nov Average, Paraguay, PRY
27.5166, 1993, Dec Average, Paraguay, PRY
27.7785, 1994, Jan Average, Paraguay, PRY
26.4802, 1994, Feb Average, Paraguay, PRY
24.9166, 1994, Mar Average, Paraguay, PRY
23.4483, 1994, Apr Average, Paraguay, PRY
23.3932, 1994, May Average, Paraguay, PRY
21.7038, 1994, Jun Average, Paraguay, PRY
